ランク,ティッカー,銘柄名,総合スコア,テクニカル,ファンダメンタル,政策スコア,判定,株価,PER,PBR,ROE,信用倍率,政策セクター,コメント
86,7095.T,Macbee Planet,47.8,19,53,72,💼 保有継続,1346.0,36.84,0.11,0.2892649391856161,,startup_growth,政策(startup_growth)
87,4384.T,ラクスル,47.8,49,35,72,💼 保有継続,1886.0,917.05,0.18,0.02001000500250125,3.5,startup_growth,政策(startup_growth) / RSI底値圏 / 75日MA上 / ⚠信用過熱(3.5倍) / ⚠ペナルティ1件
88,5711.T,三菱マテリアル,47.7,34,52,72,💼 保有継続,5039.0,13.8,0.01,0.03972532283843918,4.1,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(4.1倍) / ⚠ペナルティ1件
89,5592.T,5592.T,47.5,21,50,72,💼 保有継続,2616.0,,,0.7504057661935508,,startup_growth,政策(startup_growth)
90,6723.T,ルネサスエレクトロニクス,47.3,27,45,84,💼 保有継続,2461.5,40.7,0.03,0.07398398899953137,5.59,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(5.6倍) / ⚠ペナルティ1件
91,3436.T,SUMCO,47.3,39,45,72,💼 保有継続,1567.0,25.87,0.02,0.07184446328622575,5.71,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(5.7倍) / ⚠ペナルティ1件
92,5032.T,ANYCOLOR,47.3,26,50,72,💼 保有継続,3595.0,,,0.26581560283687944,27.61,startup_growth,政策(startup_growth) / 出来高急増 / ⚠信用過熱(27.6倍) / ⚠ペナルティ2件
93,8750.T,第一生命HD,47.3,37,52,68,💼 保有継続,1421.0,5.8,0.0,0.07567448262778054,3.01,finance,GC形成中 / 75日MA上 / ⚠信用過熱(3.0倍) / ⚠ペナルティ1件
94,7735.T,SCREENホールディングス,47.3,27,45,84,💼 保有継続,18575.0,29.9,0.02,0.07271227726950151,4.53,semiconductor,🏛️政策主力(semiconductor) / GC形成中 / 75日MA上 / ⚠信用過熱(4.5倍) / ⚠ペナルティ1件
95,9556.T,INTLOOP,47.0,25,50,72,💼 保有継続,2146.0,,,0.5621040415298175,1889.0,startup_growth,政策(startup_growth) / RSI底値圏 / 出来高急増 / ⚠信用過熱(1889.0倍) / ⚠ペナルティ2件
96,9348.T,ispace,47.0,61,35,72,💼 保有継続,577.0,,,-0.35687576639078306,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠ペナルティ1件
97,3692.T,FFRIセキュリティ,46.8,23,45,72,💼 保有継続,7550.0,72.23,0.1,0.1352948137404232,1.56,startup_growth,政策(startup_growth) / GC形成中
98,7203.T,トヨタ自動車,46.4,24,57,74,💼 保有継続,3370.0,10.7,0.01,0.09593268350803799,3.4,green_energy,政策(green_energy) / GC形成中 / 割安 / ⚠信用過熱(3.4倍) / ⚠ペナルティ1件
99,6526.T,ソシオネクスト,45.9,23,45,84,💼 保有継続,1759.0,,,0.01798569959351584,12.28,semiconductor,🏛️政策主力(semiconductor) / ⚠信用過熱(12.3倍) / ⚠ペナルティ1件
100,4004.T,レゾナックHD,45.5,65,42,72,💼 保有継続,11100.0,11.7,,-0.10626114081996435,4.38,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(4.4倍) / ⚠ペナルティ2件
101,5139.T,オープンワーク,45.4,26,37,72,💼 保有継続,932.0,,,0.06458478301849468,,startup_growth,政策(startup_growth)
102,4183.T,三井化学,45.3,23,57,72,💼 保有継続,1931.5,11.73,0.01,0.0951982247693368,9.61,rare_earth,政策(rare_earth) / RSI底値圏 / 割安 / ⚠信用過熱(9.6倍) / ⚠ペナルティ1件
103,4593.T,ヘリオス,45.2,70,35,72,💼 保有継続,410.0,,,-0.7027027027027027,5.6,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(5.6倍) / ⚠ペナルティ2件
104,8411.T,みずほFG,45.2,31,52,68,💼 保有継続,6136.0,8.6,0.0,0.05031078676213846,10.01,finance,GC形成中 / ⚠信用過熱(10.0倍) / ⚠ペナルティ1件
105,5541.T,大平洋金属,44.3,39,35,72,💼 保有継続,3090.0,35.98,0.01,0.017339660369475034,8.42,rare_earth,政策(rare_earth) / GC形成中 / 75日MA上 / ⚠信用過熱(8.4倍) / ⚠ペナルティ1件
106,7762.T,シチズン時計,44.3,41,45,90,💼 保有継続,1634.0,,,-0.11825860643415514,9.85,defense,🏛️政策主力(defense) / GC形成中 / 75日MA上 / ⚠信用過熱(9.8倍) / ⚠ペナルティ2件
107,4592.T,サンバイオ,44.3,39,35,72,💼 保有継続,1995.0,,,-0.40549765417054645,601.45,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠信用過熱(601.5倍) / ⚠ペナルティ1件
108,4417.T,グローバルセキュリティエキスパート,44.2,15,46,72,💼 保有継続,2409.0,,,0.17794186166221432,,startup_growth,政策(startup_growth)
109,6196.T,ストライク,44.1,23,53,72,💼 保有継続,4110.0,33.6,0.09,0.26393119956778843,28.34,startup_growth,政策(startup_growth) / GC形成中 / ⚠信用過熱(28.3倍) / ⚠ペナルティ1件
110,9467.T,アルファポリス,44.1,16,61,72,💼 保有継続,1317.0,23.84,0.04,0.1783733265557723,32.14,startup_growth,政策(startup_growth) / ⚠信用過熱(32.1倍) / ⚠ペナルティ1件
111,4377.T,ワンキャリア,44.0,11,50,72,💼 保有継続,1936.0,,,0.5769762579252664,,startup_growth,政策(startup_growth)
112,3491.T,GA technologies,43.8,11,49,72,💼 保有継続,1540.0,92.48,0.14,0.152250885179565,,startup_growth,政策(startup_growth)
113,8725.T,MS&AD,43.8,27,52,68,💼 保有継続,3991.0,12.7,0.01,0.046182871993953926,8.83,finance,GC形成中 / 75日MA上 / 割安 / ⚠信用過熱(8.8倍) / ⚠ペナルティ1件
114,7059.T,コプロ・ホールディングス,43.8,11,66,72,💼 保有継続,919.0,13.6,0.02,0.1608919517594695,12.02,startup_growth,政策(startup_growth) / 割安 / ⚠信用過熱(12.0倍) / ⚠ペナルティ1件
115,8306.T,三菱UFJ,43.8,31,47,68,💼 保有継続,2656.0,9.8,0.0,0.043859038621984314,14.59,finance,GC形成中 / ⚠信用過熱(14.6倍) / ⚠ペナルティ1件
116,9433.T,KDDI,43.7,8,62,78,💼 保有継続,2632.0,11.95,0.02,0.1368769591488575,3.84,ai_digital,政策(ai_digital) / 割安 / ⚠信用過熱(3.8倍) / ⚠ペナルティ1件
117,3182.T,オイシックス・ラ・大地,43.5,11,65,72,💼 保有継続,1354.0,21.7,0.05,0.2516632484618078,26.35,startup_growth,政策(startup_growth) / ⚠信用過熱(26.4倍) / ⚠ペナルティ1件
118,6200.T,インソース,43.1,20,53,72,💼 保有継続,710.0,58.2,0.2,0.3491226604426605,50.73,startup_growth,政策(startup_growth) / ⚠信用過熱(50.7倍) / ⚠ペナルティ1件
119,4480.T,メドレー,43.0,21,35,72,💼 保有継続,1872.0,289.36,0.14,0.04682515179582176,1.33,startup_growth,政策(startup_growth)
120,6532.T,ベイカレント,42.8,19,53,72,💼 保有継続,4307.0,32.8,0.11,0.33359984009594246,7.31,startup_growth,政策(startup_growth) / ⚠信用過熱(7.3倍) / ⚠ペナルティ1件
121,4483.T,JMDC,42.7,30,40,72,💼 保有継続,3445.0,112.15,0.1,0.08764601769911505,3.52,startup_growth,政策(startup_growth) / RSI底値圏 / ⚠信用過熱(3.5倍) / ⚠ペナルティ1件
122,1811.T,前田建設工業,42.6,24,42,76,💼 保有継続,8450.0,11.5,0.0,0.043146663807200496,25.06,infrastructure,政策(infrastructure) / GC形成中 / 75日MA上 / ⚠信用過熱(25.1倍) / ⚠ペナルティ1件
123,9552.T,クオンツ総研ホールディングス,42.5,21,50,72,💼 保有継続,630.0,,,0.47335418763990195,6.34,startup_growth,政策(startup_growth) / RSI底値圏 / ⚠信用過熱(6.3倍) / ⚠ペナルティ1件
124,3498.T,霞ヶ関キャピタル,42.3,11,61,72,💼 保有継続,6680.0,17.54,0.03,0.1616388096208724,15.42,startup_growth,政策(startup_growth) / ⚠信用過熱(15.4倍) / ⚠ペナルティ1件
125,8316.T,三井住友FG,42.2,31,42,68,💼 保有継続,5108.0,10.71,0.0,0.043096900373357665,16.41,finance,GC形成中 / ⚠信用過熱(16.4倍) / ⚠ペナルティ1件
126,7172.T,ジャパンインベストメントアドバイザー,41.1,11,57,72,💼 保有継続,1912.0,10.4,0.01,0.09801714212613534,250.59,startup_growth,政策(startup_growth) / 割安 / ⚠信用過熱(250.6倍) / ⚠ペナルティ1件
127,9338.T,INFORICH,40.8,43,35,72,💼 保有継続,4540.0,,,-1.1640618696007718,,startup_growth,政策(startup_growth) / GC形成中 / 75日MA上 / ⚠ペナルティ1件
128,9158.T,シーユーシー,40.8,16,50,72,💼 保有継続,858.0,,,0.23236163920574568,42.01,startup_growth,政策(startup_growth) / GC形成中 / ⚠信用過熱(42.0倍) / ⚠ペナルティ1件
129,3769.T,GMOペイメントゲートウェイ,40.8,11,49,78,💼 保有継続,7647.0,120.19,0.19,0.15791334253698558,9.58,"ai_digital, finance",政策(ai_digital) / ⚠信用過熱(9.6倍) / ⚠ペナルティ1件
130,9168.T,ライズ・コンサルティング・グループ,40.6,14,35,72,💼 保有継続,477.0,,,-0.10152224611747047,,startup_growth,政策(startup_growth)
131,8789.T,フィンテック グローバル,40.5,28,35,72,💼 保有継続,134.0,86.1,0.02,0.017583531385432685,18.28,startup_growth,政策(startup_growth) / RSI底値圏 / ⚠信用過熱(18.3倍) / ⚠ペナルティ1件
132,7003.T,三井E&S,40.5,26,35,74,💼 保有継続,6309.0,333.9,0.01,0.0015144665461121157,8.39,"green_energy, rare_earth",政策(green_energy) / GC形成中 / ⚠信用過熱(8.4倍) / ⚠ペナルティ1件
133,7373.T,アイドマ・ホールディングス,40.5,16,49,72,💼 保有継続,1830.0,73.9,0.12,0.1579358825283391,178.79,startup_growth,政策(startup_growth) / ⚠信用過熱(178.8倍) / ⚠ペナルティ1件
134,4704.T,トレンドマイクロ,39.6,11,45,78,📉 売り検討,5381.0,30.72,0.04,0.1420785804816223,7.86,ai_digital,政策(ai_digital) / ⚠信用過熱(7.9倍) / ⚠ペナルティ1件
